,TAVG,AQI
85,0.6321954153065994,80
172,0.3613286518674381,38
119,0.8278214111237714,77
27,0.4666657265382231,47
62,0.5419064941602123,44
40,0.6923880294041908,61
197,-0.6468976342672176,30
217,0.21084711662345967,36
162,-0.07506780034009942,36
164,-0.09011595386449726,47
73,0.76762879702618,50
114,1.8360476972584272,84
150,-0.1954530285352822,33
151,0.07541373490387905,40
93,1.4447957056240832,44
154,0.6773398758797929,67
59,-0.28574194968166927,31
69,-0.30079010320606714,42
108,1.5200364732460723,47
130,1.6855661620144486,129
118,0.9030621787457607,42
201,-1.9560869908898304,28
14,-1.5648349992554862,35
199,-0.4813679454988413,45
148,0.13560634900147045,34
56,-0.30079010320606714,32
187,-0.601753173694024,22
55,-0.5415605595964327,30
90,0.9030621787457607,46
53,-0.616801327218422,30
107,1.4748920126728788,97
152,0.16570265605026613,74
145,0.6773398758797929,54
99,1.2491697098069112,42
42,0.5118101871114166,50
17,-1.9410388373654324,31
5,-2.678398360060927,9
160,0.7074361829285887,31
89,0.9331584857945563,47
48,0.48171388006262095,33
213,-2.0463759120362175,31
66,0.4666657265382231,64
70,-0.1954530285352822,44
210,-1.4444497710603035,34
147,0.5870509547334058,35
54,-0.5265124060720349,43
106,1.4899401661972766,74
174,0.5268583406358145,31
163,-0.28574194968166927,44
102,0.76762879702618,44
182,0.2559915771966532,19
94,0.9030621787457607,46
198,-0.49641609902323913,50
12,-1.9560869908898304,7
143,0.6923880294041908,44
117,0.8127732575993736,61
138,1.0384955604653412,27
190,-0.1653567214864865,29
169,0.2860878842454489,61
205,-1.3541608499139164,31
81,0.00017296728188981233,44
180,-0.21050118205968005,29
196,-1.474546078109099,21
13,-1.3692090034383142,7
193,-0.8425236300843896,38
82,0.0603655813794812,35
200,-1.700268380975067,31
194,-1.0682459329503573,39
45,-0.9629088582795724,24
123,0.7826769505505778,61
103,1.053543713989739,44
36,-1.0231014723771639,45
176,0.40647311244063167,54
202,-1.8657980697434433,28
168,0.2258952701478575,51
127,0.7826769505505778,71
124,0.7074361829285887,46
215,-0.9328125512307767,37
212,-1.8056054556458518,37
189,-0.2255493355840779,29
75,0.5268583406358145,64
21,-0.7221384018892069,40
91,1.1287844816117283,46
167,-0.40612717787685204,37
2,-2.738590974158518,2
165,-0.014875186242508035,40
6,-2.2420019078533895,13
183,0.2860878842454489,16
170,0.3161841912942446,40
77,0.7826769505505778,36
113,1.6705180084900508,67
65,0.6020991082578037,84
46,-0.1653567214864865,22
74,0.7525806435017822,44
92,1.4748920126728788,87
158,0.30113603776984676,42
87,0.8428695646481692,49
173,0.2860878842454489,31
10,-0.5867050201696262,13
32,-1.3541608499139164,46
136,0.6773398758797929,29
83,0.572002801209008,48
171,0.09046188842827689,44
100,0.49676203358701876,44
125,0.8127732575993736,44
23,-0.1653567214864865,45
126,1.0836400210385349,90
9,-1.4444497710603035,3
186,-0.5114642525476369,19
104,1.3846030915264917,67
153,0.4516175730138252,77
166,-0.6468976342672176,25
135,0.9030621787457607,51
111,1.0986881745629327,45
207,-0.616801327218422,61
64,0.6923880294041908,93
15,-1.7153165344994648,36
41,0.376376805391836,58
179,-0.4211753314012499,28
109,1.1889770957093198,33
80,0.33123234481864244,44
52,-1.1585348540967444,36
26,-0.616801327218422,44
76,0.76762879702618,33
43,0.09046188842827689,67
24,-0.37603087082805636,35
3,-0.707090248364809,21
185,-0.4362234849256478,19
49,-0.029923339766905883,42
149,-0.3609827173036585,35
131,1.068591867514137,54
206,-1.0531977794259595,44
30,-1.3240645428651208,32
121,0.9933510998921478,80
175,0.3462804983430403,46
115,1.4899401661972766,87
191,-0.6619457877916155,44
8,-1.8507499162190455,7
60,-0.2255493355840779,33
128,1.143832635136126,36
1,-2.1216166796582066,3
57,-0.28574194968166927,38
22,-0.1954530285352822,48
61,0.3161841912942446,42
63,0.5419064941602123,47
7,-2.4978205177681527,5
214,-1.6701720739262713,33
141,0.5118101871114166,44
86,0.4516175730138252,46
96,0.9331584857945563,71
68,-0.07506780034009942,47
50,-0.9629088582795724,41
142,0.5870509547334058,39
157,1.1287844816117283,84
156,1.264217863331309,93
139,0.7224843364529865,51
146,0.5569546476846101,37
101,0.5419064941602123,32
20,-1.2187274681943359,41
178,-0.15030856796208866,35
25,-0.7672828624624004,42
134,1.4297475520996854,61
71,0.0603655813794812,45
204,-1.474546078109099,32
129,1.369554938002094,71
144,0.6923880294041908,43
192,-0.24059748910847575,46
79,0.6020991082578037,45
133,1.143832635136126,39
203,-1.5347386922066906,31
137,0.9331584857945563,21
72,0.30113603776984676,61
140,0.4516175730138252,41
37,-1.3240645428651208,33
